title,author,first_pub_year,pages,edition_count,language,query_subject,source
La Société du spectacle,Guy Debord,1967,157,52,chi,economics,openlibrary_api
Small Is Beautiful,E. F. Schumacher,1905,290,50,spa,economics,openlibrary_api
The World Is Flat -A Brief History OF THE TWENTY-FIRST CENTURY,Thomas L. Friedman,2005,512,51,ara,economics,openlibrary_api
Economics,"Richard G. Lipsey, Christopher Ragan",1966,840,50,eng,economics,openlibrary_api
Financial audit,United States. General Accounting Office,1975,15,116,eng,economics,openlibrary_api
The Audacity of Hope,"Barack Obama, Erwin Dorado",2006,413,49,ger,economics,openlibrary_api
Las venas abiertas de América Latina,Eduardo Galeano,1971,388,48,tur,economics,openlibrary_api
The Economic Consequences of the Peace (Twentieth-Century Classics),"John Maynard Keynes, Jens Hölscher",1919,198,197,ita,economics,openlibrary_api
What If?,Randall Munroe,1980,315,44,eng,economics,openlibrary_api
De la division du travail social,"Émile Durkheim, Steven Lukes",1893,424,82,chi,economics,openlibrary_api
Effective Executive,"Peter F. Drucker, Joseph A. Maciariello",1967,178,43,chi,economics,openlibrary_api
The postman always rings twice,James M. Cain,1934,155,43,eng,economics,openlibrary_api
The Human Condition,Hannah Arendt,1958,368,42,ita,economics,openlibrary_api
International business,"John D. Daniels, Lee H. Radebaugh",1976,805,41,eng,economics,openlibrary_api
Berlin Alexanderplatz,Alfred Döblin,1929,529,68,ita,economics,openlibrary_api
Atomic Habits,James Clear,2016,322,40,tur,economics,openlibrary_api
Feel the fear and do it anyway,Susan J. Jeffers,1987,227,40,fre,economics,openlibrary_api
Implementation of the Helsinki accords,United States. Congress. Commission on Security and Cooperation in Europe,1982,79,144,eng,economics,openlibrary_api
Fast Food Nation,Eric Schlosser,2001,385,39,eng,economics,openlibrary_api
Sesame and lilies,John Ruskin,1800,202,105,fre,economics,openlibrary_api
The Practice of Management,Peter F. Drucker,1954,404,37,und,economics,openlibrary_api
Microeconomics,"Robert S. Pindyck, Daniel L. Rubinfeld",1988,751,35,eng,economics,openlibrary_api
Nickel and Dimed,Barbara Ehrenreich,2001,242,36,spa,economics,openlibrary_api
The Road to Serfdom,Friedrich A. von Hayek,1944,248,34,pol,economics,openlibrary_api
Misère de la philosophie,Karl Marx,1847,227,71,dan,economics,openlibrary_api
The affluent society,John Kenneth Galbraith,1958,290,48,fre,economics,openlibrary_api
The Shock Doctrine,Naomi Klein,2007,677,32,tur,economics,openlibrary_api
Mein Kampf,Adolf Hitler,1922,614,185,eng,politics,openlibrary_api
Πολιτικά (Politiká),Aristotle,1492,354,224,lat,politics,openlibrary_api
Du contrat social,Jean-Jacques Rousseau,1762,249,216,eng,politics,openlibrary_api
The Napoleon of Notting Hill,Gilbert Keith Chesterton,1904,160,454,ita,politics,openlibrary_api
Rights of Man,Thomas Paine,1791,178,279,fre,politics,openlibrary_api
Manifest der Kommunistischen Partei,"Karl Marx, Friedrich Engels",1848,89,459,rus,politics,openlibrary_api
Common Sense,"Thomas Paine, Thomas Paine",1776,61,171,chi,politics,openlibrary_api
A Modern Utopia,H. G. Wells,1900,320,102,dut,politics,openlibrary_api
Animal Farm,George Orwell,1945,128,650,hun,politics,openlibrary_api
On Liberty,John Stuart Mill,1859,176,465,fre,politics,openlibrary_api
The Iron Heel,Jack London,1907,287,597,eng,politics,openlibrary_api
Dell'Arte della Guerra,Niccolò Machiavelli,1540,218,140,heb,politics,openlibrary_api
It Can't Happen Here,Sinclair Lewis,1935,376,157,rus,politics,openlibrary_api
La conquête du pain,Peter Kropotkin,1892,222,146,rus,politics,openlibrary_api
The Prince,Niccolò Machiavelli,1515,156,1407,swe,politics,openlibrary_api
Бѣсы,Фёдор Михайлович Достоевский,1871,704,171,fre,politics,openlibrary_api
De la démocratie en Amérique,"Alexis de Tocqueville, Gustave de Beaumont",1835,436,421,hun,politics,openlibrary_api
Мастер и Маргарита,Михаил Афанасьевич Булгаков,1966,439,234,eng,politics,openlibrary_api
Utopia,Thomas More,1518,176,198,lat,politics,openlibrary_api
The Enduring Vision,Paul S. Boyer,1987,610,110,eng,politics,openlibrary_api
Eva Luna,Isabel Allende,1987,304,107,spa,politics,openlibrary_api
A Vindication of Rights of Woman,Mary Wollstonecraft,1792,256,309,eng,politics,openlibrary_api
πολιτεία,Πλάτων,1554,397,794,urd,politics,openlibrary_api
The Wealth of Nations,Adam Smith,1776,581,123,eng,politics,openlibrary_api
Vom Kriege,Carl von Clausewitz,1835,461,194,eng,politics,openlibrary_api
The Problems of Philosophy,Bertrand Russell,1900,114,288,spa,politics,openlibrary_api
Sonnenfinsternis,Arthur Koestler,1940,254,119,und,politics,openlibrary_api
Die Blechtrommel,Günter Grass,1959,591,111,fin,politics,openlibrary_api
Summa Theologica,"Thomas Aquinas, Kennedy, Daniel Joseph, 1862-1930",1467,227,277,eng,politics,openlibrary_api
The Jungle,Upton Sinclair,1707,350,673,dan,politics,openlibrary_api
Mutual Aid,Peter Kropotkin,1891,294,151,heb,politics,openlibrary_api
Homage to Catalonia,George Orwell,1938,246,168,ita,politics,openlibrary_api
Записки изъ подполья,Фёдор Михайлович Достоевский,1864,132,837,rus,politics,openlibrary_api
An autobiography,Mohandas Karamchand Gandhi,1927,420,140,kor,politics,openlibrary_api
The Handmaid's Tale,Margaret Atwood,1985,350,164,ita,politics,openlibrary_api
The Second World War,Winston S. Churchill,1948,724,203,spa,politics,openlibrary_api
Moralia,Plutarch,1500,301,211,lat,politics,openlibrary_api
The Constitution of the United States and related documents,United States,1787,51,146,kor,politics,openlibrary_api
Доктор Живаго,Boris Leonidovich Pasternak,1957,559,176,slo,politics,openlibrary_api
Roughing It,Mark Twain,1872,558,408,fre,politics,openlibrary_api
Nineteen Eighty-Four,George Orwell,1949,318,534,swe,politics,openlibrary_api
A Passage to India,E. M. Forster,1924,322,219,heb,politics,openlibrary_api
A Child's Garden of Verses,Robert Louis Stevenson,1885,116,115,lat,politics,openlibrary_api
Fahrenheit 451,Ray Bradbury,1953,190,261,srp,politics,openlibrary_api
Мы,Евгений Иванович Замятин,1924,224,210,srp,politics,openlibrary_api
Братья Карамазовы,Фёдор Михайлович Достоевский,1880,822,312,und,politics,openlibrary_api
Anthem,Ayn Rand,1936,98,103,eng,politics,openlibrary_api
Genji monogatari,Murasaki Shikibu,1900,302,121,chi,politics,openlibrary_api
Also sprach Zarathustra,Friedrich Nietzsche,1883,354,550,und,politics,openlibrary_api
The Secret Agent,Joseph Conrad,1907,272,335,eng,politics,openlibrary_api
Diary,Samuel Pepys,1825,244,166,eng,politics,openlibrary_api
Hard Times,Charles Dickens,1854,326,1028,und,politics,openlibrary_api
Nicomachean Ethics,Aristotle,1558,329,416,lat,politics,openlibrary_api
The Art of War,"孙武, Stephen F. Kaufman",1900,90,1542,ita,politics,openlibrary_api
Les Contes de ma mère l'Oye,Charles Perrault,1675,160,206,spa,politics,openlibrary_api
La Poetica,Aristotle,1479,312,498,per,politics,openlibrary_api
Brave New World,Aldous Huxley,1932,241,721,hrv,politics,openlibrary_api
Twelve years a slave,Solomon Northup,1853,233,1029,chi,politics,openlibrary_api
Much Ado About Nothing,William Shakespeare,1600,160,401,fre,politics,openlibrary_api
Life on the Mississippi,Mark Twain,1883,452,157,spa,politics,openlibrary_api
Les Misérables,Victor Hugo,1862,520,526,fin,politics,openlibrary_api
The Autobiography of Benjamin Franklin,Benjamin Franklin,1791,214,679,swe,politics,openlibrary_api
Lives,Plutarch,1564,479,323,lat,politics,openlibrary_api
Uncle Tom's Cabin,Harriet Beecher Stowe,1850,451,688,und,politics,openlibrary_api
Essais,"Montaigne, Michel de",1600,363,294,gle,politics,openlibrary_api
"Laws, etc",Great Britain.,1691,21,3456,lat,politics,openlibrary_api
Candide,Voltaire,1746,152,1079,ita,politics,openlibrary_api
NASA/DoD aerospace knowledge diffusion research project,Thomas E. Pinelli,1990,26,101,eng,politics,openlibrary_api
La casa de los espíritus,Isabel Allende,1982,453,116,rus,politics,openlibrary_api
The Tempest,William Shakespeare,1611,144,804,swe,politics,openlibrary_api
Ab urbe condita,Titus Livius,1481,253,558,lat,politics,openlibrary_api
Leviathan,Thomas Hobbes,1651,508,99,eng,politics,openlibrary_api
A Game of Thrones,George R. R. Martin,1996,801,135,pol,politics,openlibrary_api
Great Expectations,Charles Dickens,1861,482,1489,amh,politics,openlibrary_api
Die protestantische Ethik und der Geist des Kapitalismus,Max Weber,1700,292,137,chi,politics,openlibrary_api
"Laws, etc",United States,1789,233,206,fre,politics,openlibrary_api
The Grapes of Wrath,John Steinbeck,1939,544,321,swe,politics,openlibrary_api
Leaves of Grass,Walt Whitman,1855,384,755,per,politics,openlibrary_api
A Tale of Two Cities,Charles Dickens,1800,387,2059,swe,politics,openlibrary_api
Plays (36),William Shakespeare,1623,889,256,ger,politics,openlibrary_api
